section	year	date	type	content	venue	title	file	source_url
by	2016	2016-06-22	essay	full-text	Medium	Amazon Echo and Alexa really matter	2016--medium-amazon-echo-and-alexa-really-matter.md	https://medium.com/@anildash/amazon-echo-and-alexa-really-matter-dcc6d817ad6b
by	2016	2016-06-19	blog-post	full-text	anildash.com	Set Adrift: Beneath the Surface of P.M. Dawn	2016--set-adrift-beneath-the-surface-of-pm-dawn.md	https://anildash.com/2016/06/18/set-adrift-beneath-the-surface-of-pm-dawn/
by	2016	2016-06-17	essay	full-text	Medium (humane-tech)	The Online Abuse Playbook	2016--medium-the-online-abuse-playbook.md	https://medium.com/humane-tech/the-online-abuse-playbook-575648c9f798
by	2016	2016-06-13	essay	full-text	Medium	The end of ThinkUp	2016--medium-the-end-of-thinkup.md	https://medium.com/@anildash/the-end-of-thinkup-e600bc46cc56
by	2016	2016-05-28	blog-post	full-text	anildash.com	Prince's Own Liner Notes On His Greatest Hits	2016--princes-own-liner-notes-on-his-greatest-hits.md	https://anildash.com/2016/05/28/princes-own-liner-notes-on-his-greatest-hits/
by	2016	2016-05-27	essay	full-text	Medium (humane-tech)	The Immortal Myths About Online Abuse	2016--medium-the-immortal-myths-about-online-abuse.md	https://medium.com/humane-tech/the-immortal-myths-about-online-abuse-a156e3370aee
by	2016	2016-05-15	blog-post	full-text	anildash.com	Message from The Artist	2016--message-from-the-artist.md	https://anildash.com/2016/05/15/message-from-the-artist/
by	2016	2016-05-12	blog-post	full-text	anildash.com	The Purple Raincheck	2016--the-purple-raincheck.md	https://anildash.com/2016/05/12/the-purple-raincheck/
by	2016	2016-04-28	blog-post	full-text	anildash.com	Goodbye, Prince	2016--goodbye-prince.md	https://anildash.com/2016/04/28/goodbye-prince/
by	2016	2016-03-22	blog-post	full-text	anildash.com	Water for Gambhariganda	2016--water-for-gambhariganda.md	https://anildash.com/2016/03/21/water-for-gambhariganda/
by	2016	2016-03-07	essay	full-text	Medium (humane-tech)	“I thought we’re the good guys?”	2016--medium-i-thought-we-re-the-good-guys.md	https://medium.com/humane-tech/i-thought-we-re-the-good-guys-852ff9ebd246
