openalex_id	year	date	type	title	venue	doi	oa_status	cited_by_count	has_abstract	best_oa_pdf_url	best_oa_landing_url	authors
W2310261624	2008	2008-04-03	article	Self-Segregation or Deliberation? Blog Readers and Political Polarization			closed	0	no			Henry Farrell; Eric Lawrence; John Sides
W2136407110	2007	2007-09-11	article	The power and politics of blogs	Public Choice	https://doi.org/10.1007/s11127-007-9198-1	green	575	no		http://opac.elte.hu/F?func=direct&doc_number=000912355	Henry Farrell; Daniel W. Drezner
W2154143845	2007	2007-03-01	article	Codecision and institutional change	West European Politics	https://doi.org/10.1080/01402380701239723	closed	125	yes			Henry Farrell; Adrienne Héritier
W2154803336	2007	2007-03-01	article	Introduction: Contested competences in the European Union	West European Politics	https://doi.org/10.1080/01402380701238741	closed	119	yes			Henry Farrell; Adrienne Héritier
W2131855731	2007	2007-09-26	article	Introduction: Blogs, politics and power: a special issue of Public Choice	Public Choice	https://doi.org/10.1007/s11127-007-9206-5	closed	108	no			Daniel W. Drezner; Henry Farrell
W2151710335	2007	2007-03-01	article	Conclusion: Evaluating the forces of interstitial institutional change	West European Politics	https://doi.org/10.1080/01402380701239962	closed	36	yes			Henry Farrell; Adrienne Héritier
W2097141731	2007	2007-03-01	article	Legislate or delegate? Bargaining over implementation and legislative authority in the EU	West European Politics	https://doi.org/10.1080/01402380701239814	closed	24	yes			Carl-Fredrik Bergstrøm; Henry Farrell; Adrienne Héritier
W1598408301	2007	2007-01-01	article	Contested Competences in Europe: Incomplete Contracts and Interstitial Institutional Change	Cadmus - EUI Research Repository (European University Institute)		closed	12	no			Anne Rasmussen; Pieter Bouwen; Henry Farrell; Adrienne Héritier; Joseph Jupille; Leonor Moral Soriano; Carl-Fredrik Bergstrøm; Catherine Moury; James A. Caporaso
W4247050516	2006	2006-01-01	preprint	Regulating Information Flows: States, Private Actors and E-Commerce	SSRN Electronic Journal	https://doi.org/10.2139/ssrn.885376	green	50	no		https://doi.org/10.2139/ssrn.885376	Henry Farrell
W3125746274	2006	2006-02-17	article	REGULATING INFORMATION FLOWS: States, Private Actors, and E-Commerce	Annual Review of Political Science	https://doi.org/10.1146/annurev.polisci.9.060804.162744	hybrid	24	yes	https://www.annualreviews.org/doi/pdf/10.1146/annurev.polisci.9.060804.162744	https://doi.org/10.1146/annurev.polisci.9.060804.162744	Henry Farrell
W2319078220	2006	2006-12-01	article	Does Trust Make Organizations Work Better?	The American Journal of Psychology	https://doi.org/10.2307/20445374	closed	0	yes			Henry Farrell
W2072807168	2006	2006-10-01	book-review	The Political Economy of European Integration: Theory and Analysis – Edited by Erik Jones and Amy Verdun	Governance	https://doi.org/10.1111/j.1468-0491.2006.00333_3.x	closed	0	no			Henry Farrell
