year	entry	urls
2006	2006 IEEE International Conference on Robotics and Automation Humanitarian Robotics A Sociable Robot to Encourage Social Interaction Among the Elderly Orlando, FL May 2006	
2006	Eastern Sociological Society 2006 Annual Meeting Cyber Places in Our Lives Tethered: Cyberplaces Always on/Always on You Boston, MA February 2006	
2006	ArtSpace Can We Fall in Love with a Machine? Love and Authenticity: After We Love Our Machines, What Next? Boston, MA February 2006	
2005	AAAI Symposium, November 2005 American Association for Artificial Intelligence Caring Machines: AI in Eldercare Relational Artifacts and the Elderly Washington, DC (Crystal City, Arlington, VA)	
2005	ICCS/Cog-Sci Workshop Toward Social Mechanisms of Android Science Relational Artifacts, Children, and Elders: The Complexities of CyberCompanions Stresa, Italy July 2005	
2005	Society for Personality and Social Psychology 6th Annual Meeting Other Minds? How People Perceive Non-Human Agents Relational Artifacts and Life-Practice Sociabilities: What ‘Counts’ as Alive Enough to Matter? New Orleans, LA January 2005	
2004	Humanoids 2004 Encounters with Kismet and Cog: Children’s Relationship with Humanoid Robots Los Angeles, CA November 2004	
2004	American Academy of Child and Adolescent Psychiatry Teens on Screens: Development and the Technology of Play Adolescents in Cyberspace (And Other Places in Digital Culture) Washington, DC October 2004	
2004	Milken Institute Global Conference: Prospering in a Changing World The Long View: Imagining the Future Los Angeles, CA April 2004	
2003	American Psychoanalytic Association 92nd Annual Meeting Whither Psychoanalysis in Digital Culture? Boston, MA June 2003	
2003	Yale University Institute for Social and Policy Studies Ethics and Technology Working Research Group Robots, Virtual Worlds, and the Evolution of Social Sensibilities New Haven, CT May 2003	
2003	Harvard University Kennedy School of Government Program on Science, Technology and Society Science and Society Colloquium Series Mediated Citizenship: Representation in a Digital Age Cambridge, MA February 2003	
2002	Camden Technology Conference POP!Tech 2002: Artificial Worlds How Artificial Worlds Are Leading Us to Redefine Ourselves Camden, Maine October 2002	
2002	Harvard University Graduate School of Education Harvard-Ross Seminar on Globalization and Education Globalization and New Ways of Knowing Cambridge, MA October 2002	
2002	Sigmund Freud Museum 30th Anniversary Freud Lecture Psychoanalytic Culture and Computer Culture Vienna, Austria May 2002	
2002	World Economic Forum Identity in a Global World Science: A Source of Security of Vulnerability? New York, NY February 2002	
2001	Institute for Advanced Study School of Social Science Lecture series on Information Technology, New Media and the Social Sciences Intimate Machines: Human Identity and “Affective” Computing Princeton, NJ March 2001	
2000	Massachusetts Institute of Technology Toys of Tomorrow: Thinking Outside of the Toybox Symposium How Gender and Licensing Concerns Affect How Toys Are Designed Cambridge, MA May 2000	
