openalex_id	year	title	venue	doi	cited_by	vincent_raw_name	verdict
W2148115938	2002	SOME PARDONERS' TALES: THE EARLIEST ENGLISH INDULGENCES	Transactions of the Royal Historical Society	https://doi.org/10.1017/s0080440102000026	10	Nicholas Vincent	pre-2005, out of scope
W27748540	2002	England and the Albigensian Crusade	UEA Digital Repository (University of East Anglia)		4	Nicholas Vincent	pre-2005, out of scope
W15306860	2001	King Henry II and the Monks of Battle: The Battle Chronicle Unmasked		https://doi.org/10.1093/oso/9780198208013.003.0023	3	Nicholas Vincent	pre-2005, out of scope
W2247718705	2001	The Wonderful Will of William of Wendling (d. 1270)	Nottingham Medieval Studies	https://doi.org/10.1484/j.nms.3.321	1	Nicholas Vincent	pre-2005, out of scope
W2035704263	2001	England under the Norman and Angevin Kings, 1075-1225. Robert Bartlett	The English Historical Review	https://doi.org/10.1093/ehr/116.466.410	0	N. Vincent	pre-2005, out of scope
W2087510189	2001	Restoration and Reform, 1153-1165: Recovery from Civil War in England, Graeme J. White	The English Historical Review	https://doi.org/10.1093/ehr/116.465.179	0	N. Vincent	pre-2005, out of scope
W4248443241	2001	England under the Norman and Angevin Kings, 1075–1225. Robert Bartlett	The English Historical Review	https://doi.org/10.1093/enghis/116.466.410	0	Nicholas Vincent	pre-2005, out of scope
W4235676866	2001	Restoration and Reform, 1153–1165: Recovery from Civil War in England, Graeme J. White	The English Historical Review	https://doi.org/10.1093/enghis/116.465.179	0	Nicholas Vincent	pre-2005, out of scope
W54012454	2000	WILLIAM MARSHAL, KING HENRY II AND THE HONOUR OF CHATEAUROUX	Archives The Journal of the British Records Association	https://doi.org/10.3828/archives.2000.1	16	NICHOLAS VINCENT	pre-2005, out of scope
W2046294066	2000	Images of Intolerance: The Representation of Jews and Judaism in the 'Bible moralisee' Sarah Lipton	The English Historical Review	https://doi.org/10.1093/ehr/115.463.937	0	N. Vincent	pre-2005, out of scope
W4251316381	2000	Images of Intolerance: The Representation of Jews and Judaism in the ‘Bible moralisee’ Sarah Lipton	The English Historical Review	https://doi.org/10.1093/enghis/115.463.937	0	Nicholas Vincent	pre-2005, out of scope
W89490456	2000	King Henry II and the Poitevins	Persée (Ministère de lEnseignement supérieur et de la Recherche)		1	Nicholas Vincent	pre-2005, out of scope
